date,btc_price,total_btc,transactions,addresses,days_destroyed,new_posts,new_members,wikiviews,djia,oil_price,exrate,spx500
2016-07-01,667.95,15721925,210409,375377,5791622,11434,777,4450,17949.37,47.65,0.90041,2102.95
2016-06-30,671.4,15717325,231960,402792,16069593,12040,856,5055,17929.99,48.05,0.89863,2098.86
2016-06-29,637.95,15714300,224112,370956,3544203,12755,788,5279,17694.68,48.4,0.90302,2070.77
2016-06-28,651.85,15710650,213058,428929,3647608,13043,808,5453,17599.6933333333,47.6966666666667,0.90463,2059.21
2016-06-27,646.7,15706025,217029,379861,6363871,13163,892,7125,17504.7066666667,46.9933333333333,0.90624,2047.65
2016-06-26,627.39,15703275,183755,387274,11954686,12293,594,3496,17409.72,46.29,0.90785,2036.09
2016-06-25,665,15699625,210998,409197,9664169,11273,575,7791,17140.24,45.07,0.90613,2000.54
2016-06-24,660.6,15695000,237625,437104,4312699,12979,657,13085,17400.75,46.69,0.88308,2037.41
2016-06-23,624.54,15692350,241300,442288,8432824,12838,626,5603,18011.07,48.63,0.88275,2113.32
2016-06-22,664.46,15688850,235641,422909,6866219,13931,563,5454,17780.83,48.43,0.88884,2085.45
2016-06-21,665.95,15683900,248164,468641,16229732,13166,556,6803,17797.13,48.3466666666667,0.886946666666667,2086.6
2016-06-20,729.19,15681900,249334,465872,8612056,13955,551,6360,17813.43,48.2633333333333,0.885053333333333,2087.75
2016-06-19,751.96,15677800,218298,414283,6447937,13051,441,3726,17829.73,48.18,0.88316,2088.9
2016-06-18,754.36,15672725,235317,423334,7364360,13517,609,3596,17804.87,48.68,0.88113,2083.25
2016-06-17,743.91,15669425,253752,456749,15850046,14729,718,5347,17675.16,46.57,0.88873,2071.22
2016-06-16,693.88,15665700,267870,471278,20089129,16068,760,5441,17733.1,45.66,0.88789,2077.99
2016-06-15,692.28,15661675,259202,445830,20298060,14905,695,5455,17640.17,47.47,0.89182,2071.5
2016-06-14,685.24,15658175,247632,407360,11253165,15209,769,5839,17648.8325,47.5725,0.889766666666667,2072.455
2016-06-13,665.85,15654875,251354,451922,29197670,15183,750,6523,17657.495,47.675,0.887713333333333,2073.41
2016-06-12,664.8465,15650600,210711,411623,12480889,13589,611,3483,17666.1575,47.7775,0.88566,2074.365
2016-06-11,594.4399875,15647200,213159,375798,6521830,11449,670,3082,17674.82,47.88,0.88968,2075.32
2016-06-10,574.32,15643300,228367,407301,7500137,12105,652,4389,17732.48,49.36,0.88378,2079.06
2016-06-09,575.2941375,15639500,236353,426447,6309834,12163,775,5030,17865.34,49.7,0.87665,2096.07
2016-06-08,578.68,15635575,229933,393284,5428412,13079,697,5172,17985.19,50.59,0.88045,2115.48
2016-06-07,583.72,15631975,248576,424994,16499300,13039,808,5263,17991.81,50.6366666666667,0.88029,2116.69333333333
2016-06-06,584.5,15628425,221171,414350,7129280,11721,691,6411,17998.43,50.6833333333333,0.88013,2117.90666666667
2016-06-05,574.02,15624225,190528,370336,5168095,11083,669,4624,18005.05,50.73,0.87997,2119.12
2016-06-04,567.88,15617375,196665,368869,4593989,10779,757,3168,17938.28,49.76,0.88098,2112.13
2016-06-03,568,15617000,234669,402066,4668712,10944,743,4613,17920.33,48.94,0.8967,2109.41
2016-06-02,539.99,15613450,231099,388996,20083252,11380,706,5138,17807.06,48.5,0.89373,2099.13
2016-06-01,531.97,15610000,234385,405301,8697892,12932,643,5660,17838.56,49.05,0.89799,2105.26
2016-05-31,531.15,15606225,215249,392767,8772372,12284,581,7279,17822.2633333333,48.97,0.897656666666667,2103.28333333333
2016-05-30,525.15,15603250,211369,415243,9402952,11280,638,5772,17805.9666666667,48.89,0.897323333333333,2101.30666666667
2016-05-29,526.64,15599650,178742,354651,12309068,10547,538,3187,17789.67,48.81,0.89699,2099.33
2016-05-28,522.43,15595100,193054,377266,9737890,10777,569,3624,17787.2,49.26,0.90009,2096.96
2016-05-27,470.29,15592650,215296,407025,34641613,11019,613,4277,17873.22,49.09,0.89349,2099.06
2016-05-26,448.7,15589175,220093,364137,5391198,11740,660,4513,17828.29,49.52,0.89614,2090.1
2016-05-25,447.94,15584025,247841,397464,8454797,12139,667,4688,17851.51,48.87,0.89783,2090.54
2016-05-24,445.34,15582350,246517,407284,6443522,13770,692,5199,17803.0233333333,48.72,0.895746666666667,2085.71333333333
2016-05-23,438.47,15578675,222755,414216,4020462,11083,660,5042,17754.5366666667,48.57,0.893663333333333,2080.88666666667
2016-05-22,438,15572925,184348,338084,4662755,9294,535,3254,17706.05,48.42,0.89158,2076.06
2016-05-21,443.89,15569575,191461,358023,10674805,9669,520,3090,17492.93,47.77,0.89113,2048.04
2016-05-20,436.05,15566050,209396,354677,11491713,10706,515,4697,17500.94,48.54,0.89238,2052.32
2016-05-19,441.87,15561800,219145,372460,7133693,11136,568,7821,17435.4,47.01,0.89103,2040.04
2016-05-18,452.9,15559325,235084,413891,7753129,11420,565,6193,17526.62,48.93,0.8837,2047.63
2016-05-17,454,15555500,238626,393224,50142566,10972,504,5182,17527.74,48.8566666666667,0.8837,2047.49
2016-05-16,454.88,15550675,239809,424856,7705401,9641,469,8069,17528.86,48.7833333333333,0.8837,2047.35
2016-05-15,457.08,15548450,200171,350006,2269483,9148,484,7277,17529.98,48.71,0.8837,2047.21
2016-05-14,455.82,15544975,211280,369111,9251951,9374,500,7314,17710.71,48.49,0.88363,2066.66
2016-05-13,456.82,15539600,232146,378733,5226677,9772,541,4819,17535.32,47.05,0.87897,2046.61
2016-05-12,454.7,15537575,228409,373340,4977706,9693,545,5809,17720.5,46.43,0.87512,2064.11
2016-05-11,450.78,15534100,234412,383199,7497752,10120,586,6179,17711.12,46.08,0.87917,2064.46
2016-05-10,450,15528450,245721,405856,8664874,10298,547,6873,17783.53,45.39,0.87882,2071.10333333333
2016-05-09,461.63,15526825,226451,405890,5966036,9669,489,6948,17855.94,44.7,0.87847,2077.74666666667
2016-05-08,459.02,15522500,185562,349946,2964120,8839,465,4727,17928.35,44.01,0.87812,2084.39
2016-05-07,459.04,15517375,202062,337042,11776159,9047,452,4848,17705.91,42.43,0.87812,2058.69
2016-05-06,460.91,15514600,233232,374471,4554881,8961,487,9122,17740.63,44.6,0.87673,2057.14
2016-05-05,446.84,15510550,229580,374537,4003861,9959,534,13910,17660.71,44.39,0.87009,2050.63
2016-05-04,447.37,15506275,233691,394207,5699162,9810,519,10996,17651.26,43.08,0.86926,2051.12
2016-05-03,450.96,15502500,235609,374877,2694918,9980,465,22702,17684.4766666667,43.0833333333333,0.868733333333333,2055.20333333333
2016-05-02,453,15495100,223785,391943,3280376,10515,576,41267,17717.6933333333,43.0866666666667,0.868206666666667,2059.28666666667
2016-05-01,451.9,15494800,191430,370083,5739322,9174,434,2885,17750.91,43.09,0.86768,2063.37
2016-04-30,447.17,15490925,215712,370399,3805040,8769,414,2915,17891.16,45.82,0.87237,2081.43
2016-04-29,449.98,15483925,261884,426515,7399484,9291,456,4520,17773.64,45.64,0.8806,2065.3
2016-04-28,450,15483325,247957,374956,5513982,10195,515,5544,17830.76,45.6,0.88269,2075.81
2016-04-27,447.31,15479950,239435,386129,5987258,11817,547,4996,18041.55,44.17,0.88503,2095.15
2016-04-26,462.5,15476725,250744,436154,7955625,11891,597,5450,18024.4733333333,44.0933333333333,0.885816666666667,2094
2016-04-25,463.86,15472750,217564,407004,13225144,10174,569,5291,18007.3966666667,44.0166666666667,0.886603333333333,2092.85
2016-04-24,459.4,15469775,183155,377166,6244225,9281,539,3786,17990.32,43.94,0.88739,2091.7
2016-04-23,447.7,15466475,185216,366327,4753074,9914,646,3487,17977.24,42.97,0.89015,2087.79
2016-04-22,447.25,15461600,210976,359204,5847194,11641,646,5160,18003.75,43.97,0.88558,2091.58
2016-04-21,451,15459300,212795,401683,4427440,12124,718,5277,17982.52,43.48,0.88456,2091.48
2016-04-20,435.95,15455525,216780,371250,5792286,11862,716,4954,18096.27,43.09,0.88031,2102.4
2016-04-19,435.91,15450600,226511,389402,4352130,12042,785,5876,18082.0466666667,43.0666666666667,0.881623333333333,2101.86666666667
2016-04-18,427.28,15446725,203165,391408,4472801,11423,765,4644,18067.8233333333,43.0433333333333,0.882936666666667,2101.33333333333
2016-04-17,430.58,15443350,191478,351044,4339783,10417,602,3075,18053.6,43.02,0.88425,2100.8
2016-04-16,429.43,15439500,182004,357397,3920340,10829,612,2794,18004.16,41.64,0.88496,2094.34
2016-04-15,429.09,15435950,216850,368762,4521966,11826,620,4089,17897.46,41.32,0.88731,2080.73
2016-04-14,423.87,15432325,230281,415731,3809420,11193,623,4707,17926.43,43.02,0.8866,2082.78
2016-04-13,424.61,15428375,223506,355716,5444067,12691,755,5180,17908.28,42.81,0.87835,2082.42
2016-04-12,425.89,15424275,240200,418258,9581351,13422,675,4951,17845.9366666667,42.88,0.877633333333333,2075.52
2016-04-11,420.75,15420475,217378,414497,9141027,11189,704,5216,17783.5933333333,42.95,0.876916666666667,2068.62
2016-04-10,421.63,15417250,186954,320083,8538101,10621,576,3281,17721.25,43.02,0.8762,2061.72
2016-04-09,417.73,15412350,207555,353010,4056701,10915,640,2926,17556.41,41.58,0.87696,2041.99
2016-04-08,419.95,15406175,215441,370187,4788319,11488,642,5280,17576.96,40.71,0.8792,2047.6
2016-04-07,420.33,15404775,218463,372004,24288622,12005,589,4757,17541.96,37.15,0.87681,2041.91
2016-04-06,421.09,15401125,218585,400648,7302338,11489,573,4769,17716.05,37.77,0.87858,2066.66
2016-04-05,419.71,15395075,216684,395942,6063273,11684,616,4822,17678.4733333333,37.14,0.8784,2059.49666666667
2016-04-04,418.99,15393525,208929,404374,6160653,11169,604,4537,17640.8966666667,36.51,0.87822,2052.33333333333
2016-04-03,418.07,15389425,176722,362201,4027577,11157,523,2967,17603.32,35.88,0.87804,2045.17
2016-04-02,416.31,15383775,196651,394636,6076690,10792,527,2694,17737,36.05,0.87796,2066.13
