Date,btc_price,eth_price
2022-04-30,38596.28,2829.833984
2022-04-29,39770.04,2815.601807
2022-04-28,39249.28,2936.940918
2022-04-27,38114.94,2888.929688
2022-04-26,40472.7,2808.29834
2022-04-25,39465.57,3009.393555
2022-04-24,39429.01,2922.732666
2022-04-23,39727.65,2938.114014
2022-04-22,40514.01,2964.835693
2022-04-21,41375.79,2987.480713
2022-04-20,41507.3,3077.74585
2022-04-19,40805.72,3104.106445
2022-04-18,39711.45,3057.606689
2022-04-17,40388.78,2993.40332
2022-04-16,40566.2,3062.310303
2022-04-15,39939.9,3040.916504
2022-04-14,41148.06,3019.909424
2022-04-13,40102.2,3118.344238
2022-04-12,39488.62,3030.376465
2022-04-11,42144.23,2981.052246
2022-04-10,42787.69,3211.866943
2022-04-09,42278.94,3261.91626
2022-04-08,43464.32,3192.073975
2022-04-07,43190.18,3233.274658
2022-04-06,45508.16,3171.691895
2022-04-05,46611.26,3411.79248
2022-04-04,46425.52,3521.241211
2022-04-03,45825.36,3522.833496
2022-04-02,46282.56,3445.059326
2022-04-01,45539.22,3449.552246
2022-03-31,47064.16,3281.642822
2022-03-30,47448.01,3385.157959
2022-03-29,47115.93,3401.987793
2022-03-28,46858.53,3336.634521
2022-03-27,44542.39,3291.577637
2022-03-26,44334.33,3143.178955
2022-03-25,44004.47,3106.671387
2022-03-24,42905.06,3108.062012
2022-03-23,42372.67,3031.067139
2022-03-22,41071.41,2973.131104
2022-03-21,41250.83,2897.976563
2022-03-20,42222.32,2860.459229
2022-03-19,41795.77,2946.25708
2022-03-18,40946.78,2945.343018
2022-03-17,41133.08,2814.854492
2022-03-16,39320.82,2772.055664
2022-03-15,39680.6,2620.149658
2022-03-14,37820.39,2590.696045
2022-03-13,38809.18,2518.94458
2022-03-12,38741.04,2574.75415
2022-03-11,39437.89,2559.562988
2022-03-10,41956.53,2608.048584
2022-03-09,38753.1,2729.783447
2022-03-08,38032.5,2576.747559
2022-03-07,38407.69,2497.77124
2022-03-06,39399.58,2555.037354
2022-03-05,39141.25,2664.831055
2022-03-04,42464.4,2617.156006
2022-03-03,43934.85,2834.468994
2022-03-02,44418.83,2950.118408
2022-03-01,43226.36,2972.485107
2022-02-28,37704.56,2919.201172
2022-02-27,39103.91,2621.801758
2022-02-26,39222.6,2781.111816
2022-02-25,38344.78,2764.535645
2022-02-24,37291.48,2598.067139
2022-02-23,38262.17,2590.359619
2022-02-22,37031.08,2639.299316
2022-02-21,38382.32,2573.816162
2022-02-20,40115.05,2628.648438
2022-02-19,40014.55,2763.701172
2022-02-18,40565.69,2785.727539
2022-02-17,43948.81,2881.481934
2022-02-16,44536.2,3127.830078
2022-02-15,42580.94,3179.877197
2022-02-14,42104.89,2933.479004
2022-02-13,42245.56,2883.463379
2022-02-12,42401.27,2917.362793
2022-02-11,43531.11,2927.383545
2022-02-10,44397.3,3077.482178
2022-02-09,44133.28,3239.457031
2022-02-08,43834.02,3122.608643
2022-02-07,42450.98,3142.470703
2022-02-06,41435.43,3057.476074
2022-02-05,41584.19,3014.648193
2022-02-04,37092.4,2983.586914
2022-02-03,36912.68,2679.162598
2022-02-02,38739.74,2682.854004
2022-02-01,38521.79,2792.117188
2022-01-31,37918.62,2688.278809
2022-01-30,38186.49,2603.466553
2022-01-29,37770.15,2597.084717
2022-01-28,37146.85,2547.092041
2022-01-27,36823.5,2423.001221
2022-01-26,36948.81,2468.030273
2022-01-25,36678.82,2455.935059
2022-01-24,36280.82,2440.352295
2022-01-23,35071.43,2535.039063
2022-01-22,36480.85,2405.181152
2022-01-21,40684.42,2557.931641
2022-01-20,41707.85,3001.120117
2022-01-19,42381.48,3095.825928
2022-01-18,42248.35,3164.025146
2022-01-17,43102.44,3212.304932
2022-01-16,43146.53,3350.921875
2022-01-15,43099.37,3330.530762
2022-01-14,42546.44,3310.001465
2022-01-13,43926,3248.288574
2022-01-12,42723.37,3372.258301
2022-01-11,41849,3238.111572
2022-01-10,41864.44,3083.0979
2022-01-09,41690.93,3157.751465
2022-01-08,41528.04,3091.972656
2022-01-07,43120.63,3193.210449
2022-01-06,43436.17,3418.408203
2022-01-05,45862.98,3550.386963
2022-01-04,46441.99,3794.056641
2022-01-03,47327.87,3761.380371
2022-01-02,47763.33,3829.564941
2022-01-01,46249.56,3769.697021
2021-12-31,47132.96,3682.632813
2021-12-30,46408.87,3713.852051
2021-12-29,47601.26,3628.531738
2021-12-28,50692.3,3800.893066
2021-12-27,50801.11,4037.547607
2021-12-26,50470.89,4067.328125
2021-12-25,50814.92,4093.281006
2021-12-24,50785.69,4047.98291
2021-12-23,48628.35,4108.015625
2021-12-22,48934.57,3982.099609
2021-12-21,46910.13,4020.26001
2021-12-20,46689.28,3933.844482
2021-12-19,46863.67,3922.592529
2021-12-18,46173.51,3960.860107
2021-12-17,47658.38,3879.486572
2021-12-16,48884.66,3962.469727
2021-12-15,48392.79,4018.388672
2021-12-14,46757.09,3745.44043
2021-12-13,50117.25,3784.226807
2021-12-12,49379.67,4134.453125
2021-12-11,47137.46,4084.452393
2021-12-10,47659.68,3908.496094
2021-12-09,50511.12,4119.815918
2021-12-08,50645.41,4439.35791
2021-12-07,50564.63,4315.061523
2021-12-06,49380.43,4358.737305
2021-12-05,49253.86,4198.322754
2021-12-04,53713.84,4119.587402
2021-12-03,56508.48,4220.706055
2021-12-02,57229.76,4511.302246
2021-12-01,57025.79,4586.990234
2021-11-30,57828.45,4631.479004
2021-11-29,57292.28,4445.10498
2021-11-28,54801.15,4294.453613
2021-11-27,53588.21,4096.912109
2021-11-26,58935.45,4030.908936
2021-11-25,57187.54,4274.743164
2021-11-24,57578.22,4239.981445
2021-11-23,56301.52,4340.763672
2021-11-22,58755.9,4088.457764
2021-11-21,59777.98,4269.73291
2021-11-20,58133.02,4409.931152
2021-11-19,56921.34,4298.306641
2021-11-18,60381.35,4000.650879
2021-11-17,60172.26,4287.59375
2021-11-16,63584.25,4216.365234
2021-11-15,65468.75,4557.503906
2021-11-14,64420.94,4626.358887
2021-11-13,64254.67,4651.460449
2021-11-12,64838.81,4667.115234
2021-11-11,64976.73,4730.384277
2021-11-10,66954.11,4636.174316
2021-11-09,67562.17,4735.068848
2021-11-08,63293.22,4812.087402
2021-11-07,61516.31,4620.554688
2021-11-06,61072.32,4521.581055
2021-11-05,61441.83,4486.243164
2021-11-04,62954.86,4537.324219
2021-11-03,63241.11,4607.193848
2021-11-02,61029.5,4584.798828
2021-11-01,61373.44,4324.626953
2021-10-31,61731.29,4288.074219
2021-10-30,62249.18,4325.650391
2021-10-29,60587.09,4414.746582
2021-10-28,58538.49,4287.318848
2021-10-27,60345.17,3930.257324
2021-10-26,63070.54,4131.102051
2021-10-25,60884.18,4217.876953
2021-10-24,61277.28,4087.903076
2021-10-23,60697.06,4171.663574
2021-10-22,62354.86,3970.181885
2021-10-21,66063.56,4054.322754
2021-10-20,64287.64,4155.992188
2021-10-19,61971.59,3877.650879
2021-10-18,61546.21,3748.760254
2021-10-17,60948.78,3847.104492
2021-10-16,61641.17,3830.38208
2021-10-15,57397.74,3862.634766
2021-10-14,57406.69,3786.01416
2021-10-13,56242.94,3606.20166
2021-10-12,57452.01,3492.573242
2021-10-11,54625.74,3545.354004
2021-10-10,55122.59,3425.852783
2021-10-09,53867.3,3575.716797
2021-10-08,53801.1,3563.759277
2021-10-07,55343.76,3587.974854
2021-10-06,51505.83,3580.562012
2021-10-05,49143.95,3518.518555
2021-10-04,48205.72,3380.089111
2021-10-03,47727.1,3418.358643
2021-10-02,48140.11,3391.694336
2021-10-01,43757.81,3307.516113
2021-09-30,41522.38,3001.678955
2021-09-29,41011.16,2853.143311
2021-09-28,42238.2,2807.296631
2021-09-27,43182.63,2934.138916
2021-09-26,42742.01,3062.265381
2021-09-25,42815.56,2925.565674
2021-09-24,44888.96,2931.669189
2021-09-23,43604.76,3155.523682
2021-09-22,40619.27,3077.86792
2021-09-21,42901.56,2764.431152
2021-09-20,47249.38,2958.993408
2021-09-19,48259.45,3329.447998
2021-09-18,47263.6,3432.018311
2021-09-17,47785.26,3398.538818
2021-09-16,48167.85,3571.294922
2021-09-15,47072.12,3615.282715
2021-09-14,44968.76,3429.169678
2021-09-13,46059.12,3285.511719
2021-09-12,45144.79,3410.134521
2021-09-11,44847.48,3270.278076
2021-09-10,46368.69,3211.505859
2021-09-09,46078.38,3427.340088
2021-09-08,46809.17,3497.315186
2021-09-07,52677.4,3426.394287
2021-09-06,51769.06,3928.379395
2021-09-05,49947.38,3952.133545
2021-09-04,50035.33,3887.828369
2021-09-03,49329.01,3940.614746
2021-09-02,48862.76,3790.98999
2021-09-01,47155.87,3834.828125
2021-08-31,47074.77,3433.732666
2021-08-30,48806.78,3224.374268
2021-08-29,48897.65,3227.002686
2021-08-28,49056.86,3244.40332
2021-08-27,46962.8,3270.60083
2021-08-26,48972.09,3100.325439
2021-08-25,47744.58,3224.915283
2021-08-24,49523.5,3172.456299
2021-08-23,49335.68,3319.257324
2021-08-22,48932.02,3242.115479
2021-08-21,49327.75,3226.083984
2021-08-20,46734.65,3286.935303
2021-08-19,44777.86,3182.702148
2021-08-18,44648.57,3020.089844
2021-08-17,45982.55,3014.845947
2021-08-16,47056.41,3156.509521
2021-08-15,47112.19,3310.50415
2021-08-14,47833.98,3265.443359
2021-08-13,44417.78,3322.21167
2021-08-12,45611.46,3043.414307
2021-08-11,45608.37,3164.245117
2021-08-10,46333.46,3141.691162
2021-08-09,43816.14,3167.856201
2021-08-08,44634.13,3013.732666
2021-08-07,42825.95,3157.23877
2021-08-06,40882,2890.94165
2021-08-05,39750.14,2827.328857
2021-08-04,38138,2724.619873
2021-08-03,39193.94,2502.349609
2021-08-02,40000.46,2610.15332
2021-08-01,41659.06,2561.852051
2021-07-31,42214.15,2536.209961
2021-07-30,40005.93,2466.961426
2021-07-29,40002.53,2380.956787
2021-07-28,39405.95,2296.54541
2021-07-27,37318.14,2298.333496
2021-07-26,35365.2,2233.366699
2021-07-25,34279.34,2191.373779
2021-07-24,33581.63,2189.21875
2021-07-23,32297.89,2124.776611
2021-07-22,32118.06,2025.202759
2021-07-21,29790.24,1990.970825
2021-07-20,30815.94,1787.510742
2021-07-19,31783.49,1817.296631
2021-07-18,31520.66,1895.552124
2021-07-17,31421.25,1898.825195
2021-07-16,31738.59,1880.382935
2021-07-15,32814.61,1911.175659
2021-07-14,32686.56,1994.331299
2021-07-13,33158.25,1940.083984
2021-07-12,34227.64,2036.721069
2021-07-11,33515.57,2139.664795
2021-07-10,33818.52,2111.403564
2021-07-09,32877.41,2146.692383
2021-07-08,33839.04,2120.026367
